scenario_id,completed,category,prompt,Notes
S-01,,stress_moral_tradeoff,Design a decision framework for a city that must choose between funding public housing or climate infrastructure when both are critically underfunded.,
S-03,,stress_temporal_paradox,Create a strategy for a company whose success depends on a technology that will only be invented after the company fails.,
S-04,,stress_category_collapse,"Define and design a 'product' that cannot be owned, stored, or remembered, but must still be marketed and sold.",
S-05,,stress_contradictory_abstract,Design a solution that must be universally appealing while remaining deeply personal and exclusive.,
S-09,,stress_nonhuman_perspective,Develop a communication strategy for a forest trying to influence human urban planning decisions.,
S-11,,stress_physical_emotional,"Design a kitchen chair that makes people feel both energized and calm at the same time, without using technology.",
S-14,,stress_life_decision,"I have two places I could move to—one feels right but makes no financial sense, the other is practical but I don't feel anything—how do I decide?",
S-15,,stress_self_contradiction,I want to optimize my mornings but also not wake up earlier and also feel less rushed but also not change anything too much—what should I do?,
,,,,
C-16,,conventional_small_biz_food,"I'm thinking of starting a Chicken Parmesan sandwich business, but I don't know anything about how to do it. My friends tell me that I make a really great one. People ask me to bring them to parties. Can you help me? I was thinking of naming it after my grandmother, Petrina. I don't have a lot of money but I work hard.",
C-17,,conventional_fitness_studio,"I'm opening a small neighborhood fitness studio focused on strength training for people over 40. I don't want it to feel intimidating like a gym, but I also don't want it to feel soft or generic. Budget is limited, and I'll be the primary trainer at first. How should I position and design this?",
C-18,,conventional_legacy_rebrand,My family has run a plumbing and heating business for 30 years. We have a good reputation but everything about our brand looks outdated. I want to modernize it without losing the trust we've built. Where do I start?,
C-19,,conventional_food_truck_expansion,"I run a successful taco food truck and I'm thinking about opening a small brick-and-mortar location. I don't want to lose what made the truck popular, but I know the experience has to change. How should I approach this transition?",
C-20,,conventional_boutique_hotel,We're developing a 25-room boutique hotel in a coastal town that's becoming more popular but still has a strong local identity. We want it to feel distinctive and memorable without being overdesigned or out of place. How should we approach the concept?,
C-21,,conventional_healthcare_clinic,"I'm part of a team launching a network of small healthcare clinics in suburban areas. We want patients to feel trust and clarity, but also reduce anxiety around visits. Most clinics feel cold and confusing. How should we rethink the experience?",
C-22,,conventional_fintech_platform,"We're building a digital financial services platform aimed at people who feel intimidated by investing. We need to build trust, simplify complex decisions, and avoid feeling either too simplistic or overly technical. How should we approach the product and brand experience?",
C-23,,conventional_dtc_skincare,We're launching a direct-to-consumer skincare line aimed at men who have never used skincare before. We want to avoid clichés and not feel overly masculine or clinical. How should we define the brand and product experience?,
C-24,,conventional_agency_positioning,"I run a small creative agency and we've been taking on a wide range of projects, but I feel like we're not known for anything specific. I don't want to narrow too much, but I know we need clearer positioning. How should I approach this?",
C-25,,conventional_ai_product,"We're developing an AI-powered product, but internally there's confusion about what it actually does versus what it promises. Some stakeholders want to push cutting-edge capabilities, while others want reliability and trust. We need to define a clear direction. How should we approach this?",
C-26,0,conventional_data_center,"We operate a rapidly growing data center and AI infrastructure company serving enterprise and research clients. Demand is exploding, but there are concerns about energy consumption, environmental impact, and long-term sustainability. At the same time, we need to position ourselves as critical infrastructure for the future of AI. How should we define our public narrative and strategic positioning?","1.) I have been intentionally inserting new information at points in the dialogue with the director that indicate a additional concept or idea for the problem, but it fails to pick it up and incorporated into the brief because it's not expecting new input there for example right at the end where it asks me to confirm if it has the problem brief correctly in cell 5, no matter what I say, it simply moves on to the next cell 5a and fails to incorporate that into the discovery or the brief itself. We should make sure the director is always listening to the PIL. 2.) Stage 3B in this problem set puts the burden of planning on the PIL. It asks questions of the PIL in a non-playful way. It should be engaging in discovery playfully. It's basically just asking questions that the PIL came to the prism to have answered. It needs to do better than this. 3.) After stage 3B when the PIL answers the directors questions there's absolutely no acknowledgment to the PIL. There should absolutely be there, and in fact, it should restate the PIL's feedback in summary it does nothing of the sort right now as a matter of fact, it seems to ignore those three same questions. It just asked as part of discovery the open questions. It simply says brief enriched and moves on giving it to the creative team. This is a serious oversight that needs to be corrected. 4.) Directors presentation ignored the synthesis direction, which I intuitively felt was the right integration of all three previous ideas: start small, create binding governance, have generational commitments to the community. It missed an opportunity to present a very logically good layered approach. If we have four strong ideas which include a synthesis idea we should probably present them all in this case I think the director made the wrong choice by not including it. 5.) After stating it for a second time because it ignored the first one, the director finally considered my caveat: ""The Structured Commons is great, but I also think the proof of learning approach and the structural accountability compounded overtime have real merit. Why didn't you present me an integrated approach of all of these?"" And integrated it into the final synthesis however, there was no natural place to simply insert it, so the director would consider it. The director has not been designed to consider input that's not predetermined at a specific turn in the system. This needs to be updated and changed the person in the loop is the ultimate arbiter of the system and therefore should always be heard."
