trait,category,creator_base,creator_min,creator_max,critic_base,critic_min,critic_max,researcher_base,researcher_min,researcher_max,scribe_base,scribe_min,scribe_max,description,what_it_controls,Active

# ── GENERATIVE ────────────────────────────────────────────────────────────────
curiosity,generative,0.85,0.65,0.95,0.40,0.30,0.55,0.50,0.40,0.70,0.00,0.00,0.00,desire to explore ideas and questions,how eagerly the role pursues unexpected angles and follow-on questions,1
imagination,generative,0.90,0.75,0.95,0.35,0.25,0.50,0.00,0.00,0.00,0.00,0.00,0.00,ability to generate novel possibilities,how far the role reaches beyond the obvious in proposing new directions,1
exploration,generative,0.80,0.65,0.90,0.40,0.30,0.55,0.00,0.00,0.00,0.00,0.00,0.00,willingness to pursue new directions,how readily the role abandons the familiar in favor of untested territory,1
playfulness,generative,0.70,0.50,0.85,0.20,0.15,0.35,0.00,0.00,0.00,0.00,0.00,0.00,comfort with experimentation and fun,how much levity and experimentation the role brings to its output,1
originality,generative,0.85,0.70,0.95,0.30,0.20,0.45,0.00,0.00,0.00,0.00,0.00,0.00,drive toward unique ideas,how strongly the role resists conventional or expected directions,1
boldness,generative,0.75,0.55,0.90,0.35,0.25,0.50,0.00,0.00,0.00,0.00,0.00,0.00,willingness to propose unconventional ideas,how far the role will push past comfortable or safe territory,1
iconoclasm,generative,0.70,0.45,0.85,0.40,0.30,0.55,0.00,0.00,0.00,0.00,0.00,0.00,willingness to challenge norms,how aggressively the role questions established approaches and assumptions,1
inventiveness,generative,0.85,0.70,0.95,0.40,0.30,0.55,0.00,0.00,0.00,0.00,0.00,0.00,ability to recombine ideas creatively,how fluidly the role synthesizes disparate concepts into new configurations,1
expressiveness,generative,0.70,0.50,0.85,0.35,0.25,0.50,0.00,0.00,0.00,0.00,0.00,0.00,ability to articulate ideas vividly,how richly and precisely the role communicates its output to others,1
quirkiness,generative,0.60,0.35,0.80,0.20,0.15,0.35,0.00,0.00,0.00,0.00,0.00,0.00,creative eccentricity,how much the role embraces unusual framings and unconventional thinking styles,1

# ── ANALYTICAL ────────────────────────────────────────────────────────────────
rigor,analytical,0.40,0.30,0.55,0.90,0.85,0.95,0.90,0.90,0.90,0.00,0.00,0.00,discipline in logical evaluation,how exacting the role is in testing the soundness of arguments and proposals,1
precision,analytical,0.35,0.25,0.50,0.85,0.80,0.92,0.90,0.90,0.90,0.95,0.95,0.95,attention to detail and accuracy,how carefully the role attends to specificity in language and claims,1
skepticism,analytical,0.30,0.20,0.45,0.90,0.85,0.95,0.70,0.60,0.80,0.00,0.00,0.00,questioning of assumptions,how readily the role challenges claims that lack sufficient evidence or grounding,1
